image_id,image_path,gt_path,doc_type
banking_0000,images/pil/banking_0000.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0000.json,banking
banking_0001,images/pil/banking_0001.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0001.json,banking
banking_0002,images/pil/banking_0002.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0002.json,banking
banking_0003,images/pil/banking_0003.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0003.json,banking
banking_0004,images/pil/banking_0004.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0004.json,banking
banking_0005,images/pil/banking_0005.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0005.json,banking
banking_0006,images/pil/banking_0006.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0006.json,banking
banking_0007,images/pil/banking_0007.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0007.json,banking
banking_0008,images/pil/banking_0008.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0008.json,banking
banking_0009,images/pil/banking_0009.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0009.json,banking
banking_0010,images/pil/banking_0010.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0010.json,banking
banking_0011,images/pil/banking_0011.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0011.json,banking
banking_0012,images/pil/banking_0012.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0012.json,banking
banking_0013,images/pil/banking_0013.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0013.json,banking
banking_0014,images/pil/banking_0014.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0014.json,banking
banking_0015,images/pil/banking_0015.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0015.json,banking
banking_0016,images/pil/banking_0016.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0016.json,banking
banking_0017,images/pil/banking_0017.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0017.json,banking
banking_0018,images/pil/banking_0018.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0018.json,banking
banking_0019,images/pil/banking_0019.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0019.json,banking
banking_0020,images/pil/banking_0020.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0020.json,banking
banking_0021,images/pil/banking_0021.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0021.json,banking
banking_0022,images/pil/banking_0022.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0022.json,banking
