image_id,image_path,gt_path,doc_type
banking_0163,images/pil/banking_0163.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0163.json,banking
banking_0028,images/pil/banking_0028.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0028.json,banking
banking_0006,images/pil/banking_0006.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0006.json,banking
banking_0189,images/pil/banking_0189.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0189.json,banking
banking_0070,images/pil/banking_0070.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0070.json,banking
banking_0062,images/pil/banking_0062.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0062.json,banking
banking_0057,images/pil/banking_0057.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0057.json,banking
banking_0035,images/pil/banking_0035.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0035.json,banking
banking_0188,images/pil/banking_0188.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0188.json,banking
banking_0026,images/pil/banking_0026.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0026.json,banking
banking_0173,images/pil/banking_0173.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0173.json,banking
banking_0246,images/pil/banking_0246.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0246.json,banking
banking_0228,images/pil/banking_0228.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0228.json,banking
banking_0139,images/pil/banking_0139.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0139.json,banking
banking_0022,images/pil/banking_0022.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0022.json,banking
banking_0151,images/pil/banking_0151.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0151.json,banking
banking_0108,images/pil/banking_0108.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0108.json,banking
banking_0008,images/pil/banking_0008.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0008.json,banking
banking_0007,images/pil/banking_0007.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0007.json,banking
banking_0023,images/pil/banking_0023.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0023.json,banking
banking_0055,images/pil/banking_0055.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0055.json,banking
banking_0059,images/pil/banking_0059.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0059.json,banking
banking_0129,images/pil/banking_0129.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0129.json,banking
banking_0154,images/pil/banking_0154.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0154.json,banking
banking_0247,images/pil/banking_0247.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0247.json,banking
banking_0143,images/pil/banking_0143.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0143.json,banking
banking_0050,images/pil/banking_0050.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0050.json,banking
banking_0183,images/pil/banking_0183.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0183.json,banking
banking_0166,images/pil/banking_0166.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0166.json,banking
banking_0179,images/pil/banking_0179.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0179.json,banking
banking_0236,images/pil/banking_0236.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0236.json,banking
banking_0107,images/pil/banking_0107.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0107.json,banking
banking_0056,images/pil/banking_0056.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0056.json,banking
banking_0114,images/pil/banking_0114.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0114.json,banking
banking_0150,images/pil/banking_0150.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0150.json,banking
banking_0071,images/pil/banking_0071.png,/data/gpfs/projects/punim2826/Smith/Anti-Extraction-v2/data/ui_dataset/ground_truth/pil/banking_0071.json,banking
